"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","Recipe","Tags"
"Ensembl 87 EnsDb for Anolis Carolinensis","Gene and protein annotations for Anolis Carolinensis based on Ensembl version 87.","3.4","AnoCar2.0","MySQL","http://www.ensembl.org","87","Anolis Carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Acarolinensis.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Ailuropoda Melanoleuca","Gene and protein annotations for Ailuropoda Melanoleuca based on Ensembl version 87.","3.4","ailMel1","MySQL","http://www.ensembl.org","87","Ailuropoda Melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Amelanoleuca.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Astyanax Mexicanus","Gene and protein annotations for Astyanax Mexicanus based on Ensembl version 87.","3.4","AstMex102","MySQL","http://www.ensembl.org","87","Astyanax Mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Amexicanus.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Anas Platyrhynchos","Gene and protein annotations for Anas Platyrhynchos based on Ensembl version 87.","3.4","BGI_duck_1.0","MySQL","http://www.ensembl.org","87","Anas Platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Aplatyrhynchos.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Bos Taurus","Gene and protein annotations for Bos Taurus based on Ensembl version 87.","3.4","UMD3.1","MySQL","http://www.ensembl.org","87","Bos Taurus","9913",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Btaurus.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Caenorhabditis Elegans","Gene and protein annotations for Caenorhabditis Elegans based on Ensembl version 87.","3.4","WBcel235","MySQL","http://www.ensembl.org","87","Caenorhabditis Elegans","6239",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Celegans.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Canis Familiaris","Gene and protein annotations for Canis Familiaris based on Ensembl version 87.","3.4","CanFam3.1","MySQL","http://www.ensembl.org","87","Canis Familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Cfamiliaris.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Choloepus Hoffmanni","Gene and protein annotations for Choloepus Hoffmanni based on Ensembl version 87.","3.4","choHof1","MySQL","http://www.ensembl.org","87","Choloepus Hoffmanni","9358",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Choffmanni.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Ciona Intestinalis","Gene and protein annotations for Ciona Intestinalis based on Ensembl version 87.","3.4","KH","MySQL","http://www.ensembl.org","87","Ciona Intestinalis","7719",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Cintestinalis.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Callithrix Jacchus","Gene and protein annotations for Callithrix Jacchus based on Ensembl version 87.","3.4","C_jacchus3.2.1","MySQL","http://www.ensembl.org","87","Callithrix Jacchus","9483",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Cjacchus.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Cavia Porcellus","Gene and protein annotations for Cavia Porcellus based on Ensembl version 87.","3.4","cavPor3","MySQL","http://www.ensembl.org","87","Cavia Porcellus","10141",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Cporcellus.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Chlorocebus Sabaeus","Gene and protein annotations for Chlorocebus Sabaeus based on Ensembl version 87.","3.4","ChlSab1.1","MySQL","http://www.ensembl.org","87","Chlorocebus Sabaeus","60711",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Csabaeus.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Ciona Savignyi","Gene and protein annotations for Ciona Savignyi based on Ensembl version 87.","3.4","CSAV2.0","MySQL","http://www.ensembl.org","87","Ciona Savignyi","51511",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Csavignyi.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
"Ensembl 87 EnsDb for Drosophila Melanogaster","Gene and protein annotations for Drosophila Melanogaster based on Ensembl version 87.","3.4","BDGP6","MySQL","http://www.ensembl.org","87","Drosophila Melanogaster","7227",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","SQLiteFile","EnsDb","EnsDb.Dmelanogaster.v87.sqlite",NA,c("EnsDb", "Ensembl", "Gene", "Transcript", "Protein", "Annotation", "87")
