"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 107 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 107.","3.15","ASM259213v1","ensembl","http://www.ensembl.org","107","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Abrachyrhynchus.v107.sqlite","EnsDb.Abrachyrhynchus.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 107.","3.15","fAstCal1.2","ensembl","http://www.ensembl.org","107","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acalliptera.v107.sqlite","EnsDb.Acalliptera.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 107.","3.15","AnoCar2.0v2","ensembl","http://www.ensembl.org","107","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acarolinensis.v107.sqlite","EnsDb.Acarolinensis.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 107.","3.15","Midas_v5","ensembl","http://www.ensembl.org","107","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acitrinellus.v107.sqlite","EnsDb.Acitrinellus.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 107.","3.15","ASM394721v1","ensembl","http://www.ensembl.org","107","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acollaria.v107.sqlite","EnsDb.Acollaria.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 107.","3.15","athCun1","ensembl","http://www.ensembl.org","107","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acunicularia.v107.sqlite","EnsDb.Acunicularia.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 107.","3.15","GooseV1.0","ensembl","http://www.ensembl.org","107","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Acygnoides.v107.sqlite","EnsDb.Acygnoides.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 107.","3.15","aptHaa1","ensembl","http://www.ensembl.org","107","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Ahaastii.v107.sqlite","EnsDb.Ahaastii.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 107.","3.15","ASM200744v2","ensembl","http://www.ensembl.org","107","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Amelanoleuca.v107.sqlite","EnsDb.Amelanoleuca.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
"Ensembl 107 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 107.","3.15","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","107","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v107/EnsDb.Amexicanus.v107.sqlite","EnsDb.Amexicanus.v107.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:107"
