"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","ResourceName","Tags"
"Ensembl 87 EnsDb for Anolis Carolinensis","Gene and protein annotations for Anolis Carolinensis based on Ensembl version 87.","3.5","AnoCar2.0","ensembl","http://www.ensembl.org","87","Anolis Carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Acarolinensis.v87.sqlite","EnsDb.Acarolinensis.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Ailuropoda Melanoleuca","Gene and protein annotations for Ailuropoda Melanoleuca based on Ensembl version 87.","3.5","ailMel1","ensembl","http://www.ensembl.org","87","Ailuropoda Melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Amelanoleuca.v87.sqlite","EnsDb.Amelanoleuca.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Astyanax Mexicanus","Gene and protein annotations for Astyanax Mexicanus based on Ensembl version 87.","3.5","AstMex102","ensembl","http://www.ensembl.org","87","Astyanax Mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Amexicanus.v87.sqlite","EnsDb.Amexicanus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Anas Platyrhynchos","Gene and protein annotations for Anas Platyrhynchos based on Ensembl version 87.","3.5","BGI_duck_1.0","ensembl","http://www.ensembl.org","87","Anas Platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Aplatyrhynchos.v87.sqlite","EnsDb.Aplatyrhynchos.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Bos Taurus","Gene and protein annotations for Bos Taurus based on Ensembl version 87.","3.5","UMD3.1","ensembl","http://www.ensembl.org","87","Bos Taurus","9913",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Btaurus.v87.sqlite","EnsDb.Btaurus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Caenorhabditis Elegans","Gene and protein annotations for Caenorhabditis Elegans based on Ensembl version 87.","3.5","WBcel235","ensembl","http://www.ensembl.org","87","Caenorhabditis Elegans","6239",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Celegans.v87.sqlite","EnsDb.Celegans.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Canis Familiaris","Gene and protein annotations for Canis Familiaris based on Ensembl version 87.","3.5","CanFam3.1","ensembl","http://www.ensembl.org","87","Canis Familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Cfamiliaris.v87.sqlite","EnsDb.Cfamiliaris.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Choloepus Hoffmanni","Gene and protein annotations for Choloepus Hoffmanni based on Ensembl version 87.","3.5","choHof1","ensembl","http://www.ensembl.org","87","Choloepus Hoffmanni","9358",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Choffmanni.v87.sqlite","EnsDb.Choffmanni.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Ciona Intestinalis","Gene and protein annotations for Ciona Intestinalis based on Ensembl version 87.","3.5","KH","ensembl","http://www.ensembl.org","87","Ciona Intestinalis","7719",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Cintestinalis.v87.sqlite","EnsDb.Cintestinalis.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Callithrix Jacchus","Gene and protein annotations for Callithrix Jacchus based on Ensembl version 87.","3.5","C_jacchus3.2.1","ensembl","http://www.ensembl.org","87","Callithrix Jacchus","9483",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Cjacchus.v87.sqlite","EnsDb.Cjacchus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Cavia Porcellus","Gene and protein annotations for Cavia Porcellus based on Ensembl version 87.","3.5","cavPor3","ensembl","http://www.ensembl.org","87","Cavia Porcellus","10141",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Cporcellus.v87.sqlite","EnsDb.Cporcellus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Chlorocebus Sabaeus","Gene and protein annotations for Chlorocebus Sabaeus based on Ensembl version 87.","3.5","ChlSab1.1","ensembl","http://www.ensembl.org","87","Chlorocebus Sabaeus","60711",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Csabaeus.v87.sqlite","EnsDb.Csabaeus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Ciona Savignyi","Gene and protein annotations for Ciona Savignyi based on Ensembl version 87.","3.5","CSAV2.0","ensembl","http://www.ensembl.org","87","Ciona Savignyi","51511",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Csavignyi.v87.sqlite","EnsDb.Csavignyi.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Drosophila Melanogaster","Gene and protein annotations for Drosophila Melanogaster based on Ensembl version 87.","3.5","BDGP6","ensembl","http://www.ensembl.org","87","Drosophila Melanogaster","7227",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Dmelanogaster.v87.sqlite","EnsDb.Dmelanogaster.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Dasypus Novemcinctus","Gene and protein annotations for Dasypus Novemcinctus based on Ensembl version 87.","3.5","Dasnov3.0","ensembl","http://www.ensembl.org","87","Dasypus Novemcinctus","9361",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Dnovemcinctus.v87.sqlite","EnsDb.Dnovemcinctus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Dipodomys Ordii","Gene and protein annotations for Dipodomys Ordii based on Ensembl version 87.","3.5","dipOrd1","ensembl","http://www.ensembl.org","87","Dipodomys Ordii","10020",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Dordii.v87.sqlite","EnsDb.Dordii.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Danio Rerio","Gene and protein annotations for Danio Rerio based on Ensembl version 87.","3.5","GRCz10","ensembl","http://www.ensembl.org","87","Danio Rerio","7955",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Drerio.v87.sqlite","EnsDb.Drerio.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Equus Caballus","Gene and protein annotations for Equus Caballus based on Ensembl version 87.","3.5","EquCab2","ensembl","http://www.ensembl.org","87","Equus Caballus","9796",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Ecaballus.v87.sqlite","EnsDb.Ecaballus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Erinaceus Europaeus","Gene and protein annotations for Erinaceus Europaeus based on Ensembl version 87.","3.5","HEDGEHOG","ensembl","http://www.ensembl.org","87","Erinaceus Europaeus","9365",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Eeuropaeus.v87.sqlite","EnsDb.Eeuropaeus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Echinops Telfairi","Gene and protein annotations for Echinops Telfairi based on Ensembl version 87.","3.5","TENREC","ensembl","http://www.ensembl.org","87","Echinops Telfairi","9371",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Etelfairi.v87.sqlite","EnsDb.Etelfairi.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Ficedula Albicollis","Gene and protein annotations for Ficedula Albicollis based on Ensembl version 87.","3.5","FicAlb_1.4","ensembl","http://www.ensembl.org","87","Ficedula Albicollis","59894",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Falbicollis.v87.sqlite","EnsDb.Falbicollis.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Felis Catus","Gene and protein annotations for Felis Catus based on Ensembl version 87.","3.5","Felis_catus_6.2","ensembl","http://www.ensembl.org","87","Felis Catus","9685",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Fcatus.v87.sqlite","EnsDb.Fcatus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Gasterosteus Aculeatus","Gene and protein annotations for Gasterosteus Aculeatus based on Ensembl version 87.","3.5","BROADS1","ensembl","http://www.ensembl.org","87","Gasterosteus Aculeatus","69293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Gaculeatus.v87.sqlite","EnsDb.Gaculeatus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Gallus Gallus","Gene and protein annotations for Gallus Gallus based on Ensembl version 87.","3.5","Gallus_gallus-5.0","ensembl","http://www.ensembl.org","87","Gallus Gallus","9031",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Ggallus.v87.sqlite","EnsDb.Ggallus.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
"Ensembl 87 EnsDb for Gorilla Gorilla","Gene and protein annotations for Gorilla Gorilla based on Ensembl version 87.","3.5","gorGor3.1","ensembl","http://www.ensembl.org","87","Gorilla Gorilla","9595",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","SQLiteFile","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v87/EnsDb.Ggorilla.v87.sqlite","EnsDb.Ggorilla.v87.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:87"
